state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
WA,166,408, no, no,0,2743,110,4663,529,109,45,2461,119,1107,109,5,294,0, False
MA,136,408, yes, no,0,1996,89,3393,2114,96,1797,724,84,326,11,4,297,3, True
KS,149,510, no, no,0,2177,91,3701,2735,74,2325,2269,99,1021,96,3,259,3, False
RI,70,415, no, no,0,1347,96,229,2359,90,2005,2602,113,1171,76,6,205,3, False
MO,120,415, no, yes,24,2127,73,3616,2575,103,2189,2278,119,1025,97,13,262,2, False
IA,66,510, no, no,0,2563,135,4357,1802,106,1532,1873,135,843,62,7,167,2, False
WY,104,408, no, no,0,1836,133,3121,1207,98,1026,2151,112,968,127,2,343,1, False
NV,160,415, no, no,0,1762,90,2995,196,115,1666,2639,95,1188,92,4,248,1, False
WI,129,415, no, yes,37,205,94,3485,1654,103,1406,185,81,832,117,8,316,1, False
AL,93,408, no, no,0,2679,114,4554,223,74,1896,2627,90,1182,113,3,305,3, True
HI,169,415, no, no,0,1792,111,3046,1752,130,1489,2286,92,1029,99,6,267,2, False
MO,58,415, no, no,0,1494,145,254,1965,105,167,2095,108,943,149,3,402,1, False
CA,75,510, no, yes,38,1636,132,2781,1467,113,1247,3458,115,1556,131,3,354,3, False
MO,45,408, no, no,0,2076,71,3529,1527,94,1298,2178,125,98,124,13,335,1, False
CT,155,510, no, no,0,1654,108,2812,1837,103,1561,802,108,361,89,4,24,3, False
MD,52,415, no, no,0,2098,114,3567,1713,82,1456,1546,119,696,99,9,267,4, False
OH,119,415, no, yes,27,2201,128,3742,2682,133,228,1465,80,659,111,3,3,0, False
NV,86,510, no, no,0,1413,72,2402,1543,95,1312,2106,91,948,82,5,221,1, False
MD,42,408, no, no,0,1965,89,3341,2413,123,2051,1432,105,644,4,7,108,0, False
NE,127,510, yes, no,0,1809,114,3075,2095,118,1781,2499,105,1125,74,4,2,2, False
OH,123,408, no, no,0,105,150,1785,2516,90,2139,258,93,1161,149,5,402,0, False
MA,98,510, no, no,0,2714,119,4614,1904,102,1618,2847,118,1281,111,6,3,4, True
OK,149,510, no, yes,43,2067,79,3514,1746,122,1484,2415,80,1087,109,3,294,1, False
MA,160,408, no, no,0,1668,109,2836,236,117,2006,3076,77,1384,93,1,251,1, False
WA,103,415, no, no,0,2049,107,3483,1352,102,1149,2082,106,937,104,3,281,5, False
HI,132,415, no, yes,15,1546,128,2628,2456,106,2088,1486,90,669,91,4,246,1, False
CO,137,415, no, no,0,127,107,2159,3232,75,2747,1439,127,648,75,2,203,1, False
FL,129,415, yes, no,0,2674,78,4546,2042,85,1736,1117,146,503,59,4,159,1, False
WI,62,415, no, no,0,281,66,4777,1606,108,1365,779,74,351,0,0,0,1, False
ID,122,510, no, yes,33,2708,96,4604,2204,110,1873,1699,104,765,118,8,319,4, False
WY,32,408, no, no,0,1712,82,291,1856,102,1578,2033,64,915,102,7,275,1, False
GA,86,510, no, no,0,1241,82,211,2026,120,1722,2896,119,1303,67,8,181,3, False
FL,130,415, no, no,0,1628,113,2768,2903,111,2468,1149,140,517,72,3,194,1, False
WY,42,408, no, no,0,1463,84,2487,2559,113,2175,45,117,203,8,12,216,1, False
DE,73,415, no, no,0,2548,85,4332,1434,80,1219,1539,102,693,15,7,405,2, False
ME,66,408, no, yes,26,2549,108,4333,2432,135,2067,1908,95,859,54,3,146,2, False
DC,103,510, no, yes,31,1077,124,1831,1889,104,1606,1962,98,883,89,3,24,0, False
IA,128,408, no, no,0,1588,75,27,2648,91,2251,270,77,1215,76,7,205,1, False
CO,104,415, no, no,0,1829,113,3109,2396,85,2037,2298,104,1034,55,4,149,2, False
MN,103,415, no, no,0,1985,112,3375,425,90,361,1792,124,806,124,5,335,0, False
VT,124,415, no, no,0,1784,72,3033,2336,134,1986,1794,91,807,12,2,324,0, False
AZ,87,510, no, no,0,1109,91,1885,1585,115,1347,2075,131,934,62,5,167,1, False
LA,109,415, no, yes,27,1669,85,2837,2212,92,188,1973,97,888,123,4,332,1, True
MO,167,415, yes, no,0,2448,91,4162,608,105,517,1767,110,795,107,3,289,2, False
ME,97,510, no, no,0,1208,96,2054,1698,101,1443,1941,63,873,119,3,321,4, True
MD,106,415, no, no,0,1653,118,281,210,101,1785,1872,93,842,85,3,23,2, False
VT,125,415, no, no,0,1267,113,2154,1555,131,1322,2062,112,928,144,7,389,2, False
DC,108,408, no, yes,35,2159,106,367,2006,107,1705,1954,107,879,155,7,419,0, False
WY,125,415, no, no,0,1401,132,2382,2096,126,1782,2641,77,1188,8,2,216,1, False
VA,89,415, no, yes,32,2099,113,3568,2498,104,2123,2242,92,1009,87,7,235,1, False
VA,72,510, yes, yes,29,1398,114,2377,1382,91,1175,221,88,995,55,6,149,0, False
CT,23,510, no, no,0,3216,107,5467,2516,115,2139,1411,158,635,113,3,305,2, True
HI,149,510, no, no,0,1666,61,2832,2188,107,186,2083,131,937,82,6,221,7, False
WI,73,415, no, no,0,2142,90,3641,1968,78,1673,1579,112,711,59,8,159,0, False
MD,61,415, no, no,0,260,123,442,2105,127,1789,2347,70,1056,9,3,243,1, True
WV,161,415, no, no,0,1919,113,3262,709,87,603,2048,107,922,134,4,362,4, True
VT,73,408, no, no,0,213,95,3621,1888,104,1605,1362,89,613,135,3,365,0, False
UT,118,415, no, yes,24,1181,83,2008,1096,72,932,2455,73,1105,169,2,456,1, False
CO,23,408, no, no,0,1902,89,3233,1664,108,1414,2198,73,989,15,4,405,6, False
NC,127,415, no, yes,25,822,95,1397,1633,109,1388,2649,104,1192,51,6,138,0, False
NJ,42,415, no, yes,32,1638,80,2785,1778,123,1511,1904,106,857,81,5,219,0, False
AR,118,415, no, no,0,2678,145,4553,3164,121,2689,2086,91,939,144,11,389,5, True
IA,45,510, no, no,0,1598,91,2717,1204,86,1023,163,93,734,106,3,286,2, False
GA,50,408, no, yes,24,2143,129,3643,2898,55,2463,3125,130,1406,106,4,286,1, False
MO,179,510, no, no,0,2873,123,4884,288,114,2448,266,112,1197,105,4,284,0, True
MO,152,408, no, no,0,1012,122,172,1416,87,1204,1985,124,893,75,3,203,2, False
WY,105,415, no, no,0,1028,74,1748,2817,125,2394,2281,113,1026,132,5,356,2, False
HI,72,415, no, no,0,1091,97,1855,1157,96,983,2958,84,1331,83,6,224,0, False
PA,52,408, no, no,0,2159,67,367,217,108,1845,3428,130,1543,52,2,14,1, False
TX,125,415, no, no,0,2034,110,3458,1287,97,1094,1905,113,857,11,4,297,1, False
VA,143,510, no, no,0,1101,113,1872,169,59,1437,1667,94,75,92,2,248,1, False
RI,65,415, no, no,0,111,51,1887,2198,84,1868,202,89,909,44,14,119,1, False
WI,80,415, no, no,0,2399,121,4078,1423,51,121,3643,106,1639,93,5,251,1, False
MS,1,415, no, no,0,1448,107,2462,1125,66,956,2187,79,984,138,3,373,1, False
KY,60,408, no, no,0,1354,134,2302,2059,85,175,204,103,918,79,4,213,1, False
NC,43,415, no, no,0,842,134,1431,808,103,687,1961,79,882,108,2,292,1, False
NV,143,415, no, no,0,2091,127,3555,1061,80,902,1796,90,808,14,6,378,0, False
UT,81,415, no, yes,24,1301,117,2212,196,61,1666,1393,123,627,114,5,308,0, False
ME,205,510, no, yes,24,1758,139,2989,155,98,1318,1807,64,813,78,5,211,2, False
HI,24,415, no, no,0,2419,104,4112,1452,112,1234,2145,105,965,66,5,178,1, False
OH,74,415, no, no,0,1367,106,2324,2286,105,1943,2653,114,1194,98,4,265,0, False
WV,77,510, no, no,0,677,68,1151,1957,86,1663,2365,137,1064,12,2,324,1, False
OK,74,415, no, no,0,2004,87,3407,3092,105,2628,1521,118,684,10,2,27,1, False
KY,74,510, yes, no,0,1258,103,2139,2077,96,1765,2074,143,933,141,4,381,1, True
AL,200,408, no, no,0,1282,87,2179,1332,105,1132,1776,123,799,112,2,302,1, False
MD,86,408, no, no,0,2263,88,3847,223,107,1896,2556,92,115,13,3,351,4, False
NE,91,510, no, yes,37,1623,107,2759,2339,115,1988,2774,94,1248,92,4,248,0, False
DC,76,415, no, no,0,2244,121,3815,1479,97,1257,1838,74,827,67,2,181,2, False
TX,130,415, no, no,0,1205,127,2049,1897,52,1612,2701,107,1215,143,2,386,1, False
OH,56,408, no, no,0,911,90,1549,1793,115,1524,3007,89,1353,119,8,321,2, False
DE,117,415, no, no,0,1688,137,287,2414,107,2052,2048,106,922,155,4,419,0, False
IA,63,510, no, no,0,1535,81,261,2873,115,2442,2302,85,1036,65,5,176,2, False
VT,126,415, no, no,0,2262,88,3845,1403,114,1193,2089,110,94,64,2,173,0, False
OR,132,510, no, no,0,1919,107,3262,2069,127,1759,272,88,1224,126,2,34,1, False
NV,81,415, no, yes,28,1679,147,2854,1907,105,1621,193,103,869,92,6,248,4, True
NC,122,415, no, no,0,180,88,306,145,77,1233,2337,120,1052,115,6,311,2, False
NJ,46,408, no, no,0,2574,67,4376,2611,91,2219,2044,107,92,134,5,362,2, True
MN,150,415, no, yes,28,1744,75,2965,1699,80,1444,2016,130,907,11,4,297,1, False
ID,99,408, no, no,0,1597,83,2715,1554,121,1321,2557,114,1151,84,3,227,1, False
AL,87,408, no, no,0,2372,124,4032,2226,87,1892,1733,81,78,11,3,297,1, False
AK,108,415, no, no,0,103,129,1751,2423,103,206,1702,89,766,79,3,213,1, False
VT,101,415, no, no,0,1538,89,2615,234,89,1989,1963,77,883,116,2,313,4, False
PA,53,415, no, no,0,2051,86,3487,1605,95,1364,1495,142,673,107,2,289,3, False
AK,132,415, no, yes,39,1757,93,2987,1872,94,1591,2255,118,1015,86,3,232,2, False
CA,158,510, no, no,0,1559,123,265,2242,112,1906,221,116,995,86,8,232,2, False
MS,114,415, no, yes,34,1544,109,2625,2214,142,1882,2085,103,938,103,5,278,0, False
AR,77,415, no, yes,23,2097,73,3565,1836,63,1561,2055,111,925,71,3,192,2, False
NV,144,415, yes, no,0,150,69,255,2859,73,243,1906,121,858,94,15,254,0, False
AL,91,510, no, yes,23,2324,97,3951,186,88,1581,1905,128,857,123,3,332,3, False
GA,58,408, no, no,0,1654,100,2812,1157,87,983,1938,118,872,128,5,346,2, False
AR,5,415, no, no,0,1992,106,3386,1873,12,1592,214,85,963,133,3,359,3, False
MA,97,408, no, no,0,2176,81,3699,3205,51,2724,1507,110,678,42,3,113,0, False
NJ,107,415, no, no,0,2121,95,3606,1501,88,1276,2198,111,989,77,2,208,3, False
MO,142,415, no, yes,30,154,75,2618,1658,97,1409,270,83,1215,108,5,292,1, False
NY,9,408, no, yes,31,1938,130,3295,2026,98,1722,1912,102,86,133,2,359,1, False
AZ,73,415, no, no,0,1754,130,2982,2481,105,2109,1224,85,551,122,4,329,0, False
NJ,48,510, no, yes,22,152,63,2584,2588,131,22,2632,109,1184,157,5,424,2, True
WV,43,408, no, no,0,2302,147,3913,1867,121,1587,1284,100,578,92,3,248,0, False
NM,122,408, no, yes,33,1749,103,2973,2482,105,211,1646,116,741,135,3,365,1, True
SC,93,415, no, no,0,1902,68,3233,2622,64,2229,130,92,585,88,4,238,0, False
VT,85,415, no, no,0,1764,122,2999,2249,123,1912,2196,50,988,115,1,311,1, False
TN,59,415, no, no,0,1609,95,2735,2512,65,2135,2734,97,123,5,5,135,3, False
LA,87,415, no, no,0,2287,90,3888,163,99,1386,1541,90,693,118,3,319,1, False
OH,137,408, no, no,0,144,90,2448,1816,100,1544,1281,93,576,123,2,332,0, False
OR,21,510, no, yes,31,1359,90,231,271,84,2304,1791,89,806,95,7,257,6, False
DE,129,510, no, no,0,3343,118,5683,1921,104,1633,191,83,859,104,6,281,0, True
KY,104,415, no, no,0,1305,77,2219,1312,117,1115,2647,63,1191,13,6,351,0, False
GA,93,408, no, yes,21,1342,105,2281,1625,128,1381,1866,90,84,118,2,319,4, True
VT,63,415, no, no,0,278,102,4726,2664,114,2264,2241,118,1008,131,4,354,4, True
OR,161,415, no, no,0,1054,70,1792,2148,122,1826,2236,126,1006,78,5,211,0, False
TX,50,510, no, no,0,1889,94,3211,2039,104,1733,1518,124,683,116,8,313,3, False
MO,103,408, no, yes,24,1118,85,1901,2396,102,2037,2683,81,1207,69,4,186,1, False
ND,84,415, no, yes,33,1591,106,2705,1498,101,1273,2134,108,96,13,18,351,1, False
MN,92,510, no, no,0,2124,105,3611,2246,118,1909,2213,105,996,9,4,243,1, False
NV,77,415, no, no,0,1423,112,2419,3063,111,2604,1965,82,884,99,1,267,1, False
NY,64,415, yes, no,0,3468,55,5896,2495,79,2121,2754,102,1239,133,9,359,1, True
FL,159,415, no, yes,15,1139,102,1936,1453,146,1235,1952,137,878,118,9,319,1, False
KS,110,415, yes, yes,27,2679,103,4554,2633,74,2238,1781,106,801,83,2,224,1, True
NV,138,510, no, no,0,1714,117,2914,1152,128,979,2245,115,101,17,4,459,3, False
NV,178,408, no, no,0,2754,150,4682,1875,62,1594,1471,126,662,136,3,367,1, False
SC,38,415, no, yes,31,1972,118,3352,2499,70,2124,2989,104,1345,39,2,105,0, False
MI,50,415, no, yes,35,1926,97,3274,1352,101,1149,2162,101,973,79,2,213,2, False
MI,45,510, no, yes,26,917,104,1559,1506,119,128,633,103,285,77,5,208,1, False
TN,70,510, no, no,0,1263,99,2147,1416,106,1204,2559,96,1152,96,2,259,0, False
NY,147,510, no, yes,33,2515,107,4276,2341,110,199,2134,87,96,104,6,281,3, False
NV,94,510, no, no,0,1906,108,324,1523,95,1295,1447,97,651,75,5,203,1, False
IL,179,510, no, no,0,1161,101,1974,2018,99,1715,1819,103,819,116,5,313,0, False
MS,116,415, no, no,0,2173,91,3694,2161,95,1837,1481,76,666,113,3,305,2, False
ND,59,510, no, no,0,1794,80,305,2325,99,1976,1758,105,791,147,3,397,0, False
NC,165,415, no, no,0,2077,109,3531,1648,94,1401,545,91,245,79,3,213,0, False
MI,133,408, no, no,0,2773,138,4714,2284,117,1941,1173,103,528,128,4,346,2, True
TN,140,415, no, no,0,1253,84,213,1676,121,1425,2606,94,1173,84,4,227,1, False
VT,93,408, no, yes,32,1381,91,2348,1673,72,1422,2389,115,1075,68,3,184,2, False
OK,52,510, no, yes,38,1693,88,2878,2259,97,192,172,86,774,82,3,221,0, False
DE,64,415, no, yes,27,2013,101,3422,1438,89,1222,1502,127,676,123,3,332,1, False
ND,12,510, yes, no,0,2167,117,3684,1165,126,99,220,110,99,98,4,265,2, False
OR,48,415, no, no,0,1904,92,3237,3175,85,2699,1334,113,6,83,4,224,2, False
NY,181,408, no, no,0,1433,91,2436,1955,58,1662,2233,95,1005,6,7,162,1, False
MO,168,415, no, yes,42,974,57,1656,2036,98,1731,1739,124,783,114,2,308,2, False
FL,155,415, no, no,0,1814,111,3084,1677,92,1425,1685,122,758,113,3,305,3, False
ND,105,510, no, no,0,2464,83,4189,2562,101,2178,169,151,761,38,4,103,0, False
NY,11,415, no, no,0,1434,130,2438,2894,50,246,194,100,873,97,6,262,2, False
ND,182,415, no, no,0,1049,111,1783,1985,120,1687,2582,91,1162,8,5,216,2, False
NY,104,415, no, no,0,1562,93,2655,193,54,1641,2227,94,1002,131,5,354,1, False
OH,102,415, no, no,0,1148,125,1952,819,126,696,3043,101,1369,12,4,324,0, False
AL,122,415, no, no,0,2325,96,3953,2055,120,1747,2137,91,962,119,2,321,0, False
SC,41,415, no, no,0,1436,117,2441,1524,108,1295,1944,110,875,86,3,232,1, False
GA,132,415, no, no,0,1767,132,3004,2441,80,2075,1763,120,793,91,4,246,2, False
WY,76,415, no, no,0,2634,148,4478,2303,69,1958,1706,101,768,114,5,308,1, True
WV,13,415, no, no,0,1464,74,2489,1485,92,1262,2167,96,975,113,3,305,1, False
HI,115,415, no, yes,33,145,72,2465,1945,157,1653,2423,138,109,142,3,383,2, False
WV,67,408, no, no,0,1678,91,2853,1677,69,1425,1103,71,496,84,12,227,1, False
LA,154,510, no, no,0,1669,99,2837,1549,97,1317,1894,89,852,72,5,194,0, False
AR,100,510, no, no,0,1425,87,2423,1957,88,1663,1221,117,549,78,8,211,2, False
AK,146,510, yes, no,0,133,65,2261,2628,93,2234,2143,128,964,112,3,302,1, False
DC,148,415, no, yes,11,2529,129,4299,2843,88,2417,2628,99,1183,123,1,332,1, False
AL,67,415, no, yes,28,95,94,1615,2912,73,2475,1596,114,718,10,2,27,2, False
UT,161,510, yes, no,0,1942,106,3301,2494,105,212,2549,129,1147,129,1,348,1, True
KS,70,415, no, no,0,2228,114,3788,2159,113,1835,2235,122,1006,0,0,0,1, False
MN,116,510, no, no,0,2018,82,3431,2315,95,1968,2261,130,1017,165,5,446,0, False
VA,99,415, no, yes,42,216,125,3672,2323,104,1975,2155,100,97,93,4,251,2, True
UT,87,415, no, no,0,1463,108,2487,1718,102,146,1675,66,754,53,9,143,1, False
IN,87,510, no, no,0,2348,85,3992,1409,91,1198,2043,93,919,95,5,257,1, False
CT,70,408, no, no,0,1986,111,3376,2139,115,1818,1712,105,77,106,6,286,2, False
DE,131,408, no, no,0,944,80,1605,2151,101,1828,1797,108,809,131,9,354,2, False
VT,119,510, no, no,0,1904,74,3237,2156,113,1833,1612,111,725,10,1,27,2, False
MO,119,408, no, yes,32,1426,77,2424,2082,126,177,171,102,769,12,2,324,3, False
RI,87,510, yes, no,0,1342,80,2281,165,71,1403,1731,102,779,107,5,289,0, False
CA,112,415, no, no,0,1119,92,1902,114,143,969,1468,79,661,141,3,381,5, True
RI,75,415, no, no,0,1228,89,2088,2113,104,1796,2614,91,1176,107,2,289,2, False
CT,150,510, no, no,0,1893,77,3218,2209,105,1878,2387,117,1074,92,5,248,4, False
IN,161,510, no, yes,38,2404,112,4087,2018,102,1715,2061,112,927,161,6,435,0, False
FL,91,510, yes, yes,24,935,112,159,1834,128,1559,2407,133,1083,99,3,267,0, False
KS,124,415, no, no,0,1586,104,2696,2112,77,1795,1793,104,807,102,8,275,3, False
NY,94,510, yes, no,0,2432,109,4134,147,88,125,949,99,427,72,4,194,4, False
TX,217,408, no, no,0,1764,115,2999,1588,128,135,3066,107,138,93,3,251,4, False
RI,158,510, no, no,0,2209,129,3755,2422,108,2059,2333,75,105,64,5,173,0, False
NV,102,415, no, no,0,1444,87,2455,2665,128,2265,2176,59,979,71,7,192,0, False
UT,85,510, no, no,0,2123,107,3609,2284,103,1941,1633,116,735,77,3,208,0, False
OK,79,510, no, no,0,147,72,2499,1657,102,1408,2432,107,1094,84,9,227,1, False
MN,139,510, no, yes,25,962,112,1635,1789,70,1521,1821,84,819,129,10,348,2, False
NC,103,415, no, no,0,2634,118,4478,1791,69,1522,2147,112,966,103,2,278,0, False
OR,98,415, yes, no,0,125,67,213,2566,90,2181,1694,88,762,77,9,208,1, False
NH,78,408, no, no,0,1623,116,2759,1924,86,1635,2406,100,1083,101,3,273,2, False
AK,50,408, no, no,0,1836,107,3121,586,118,498,2026,99,912,87,3,235,1, False
OR,161,415, no, no,0,1781,109,3028,1465,86,1245,1376,78,619,85,2,23,1, False
KS,67,408, no, no,0,2014,101,3424,976,122,83,2025,119,911,7,3,189,0, False
WV,86,415, no, yes,38,123,158,2091,1339,119,1138,1382,103,622,133,4,359,1, False
GA,92,510, no, no,0,208,125,3536,1989,76,1691,764,97,344,86,6,232,0, False
NM,174,415, no, no,0,2392,72,4066,1885,124,1602,1056,116,475,88,3,238,1, False
OH,124,510, no, no,0,193,97,3281,898,99,763,1728,104,778,153,3,413,1, False
ND,132,415, no, yes,31,1745,101,2967,2456,105,2088,1728,76,778,103,9,278,1, False
RI,190,415, no, yes,26,1167,71,1984,1459,88,124,1751,103,788,99,3,267,1, False
HI,101,510, no, no,0,938,127,1595,150,104,1275,2411,116,1085,107,2,289,1, False
WY,185,415, yes, yes,30,1541,114,262,1187,106,1009,2584,105,1163,129,3,348,2, False
NY,68,415, no, yes,29,2395,82,4072,2038,105,1732,1678,70,755,99,6,267,0, False
KS,117,510, no, yes,25,216,140,3672,2241,69,1905,2679,112,1206,118,4,319,0, False
LA,118,408, no, no,0,1874,97,3186,1778,89,1511,2334,97,105,122,6,329,1, False
PA,124,415, no, no,0,1674,119,2846,2332,143,1982,1096,115,493,103,5,278,0, False
NV,22,510, no, no,0,1604,108,2727,2181,88,1854,1929,115,868,125,4,338,1, False
MN,75,415, no, no,0,1432,92,2434,2091,142,1777,173,96,779,119,9,321,1, False
PA,134,408, no, no,0,2053,122,349,2405,155,2044,1791,107,806,5,9,135,1, False
MO,164,408, no, yes,25,2191,88,3725,1515,99,1288,501,60,225,143,6,386,1, False
NY,44,510, no, no,0,1432,77,2434,1698,114,1443,2158,77,971,76,4,205,1, False
ME,177,415, no, no,0,2328,106,3958,1752,97,1489,2122,77,955,125,7,338,2, False
NH,110,408, no, no,0,162,81,2754,2475,89,2104,1555,99,7,89,8,24,0, False
WY,53,415, no, yes,27,259,119,44,2065,96,1755,2281,64,1026,65,7,176,1, False
NY,108,415, no, no,0,1542,123,2621,1123,86,955,2464,75,1109,154,4,416,4, True
ME,80,408, no, no,0,3223,113,5479,222,95,1887,1628,123,733,67,8,181,0, True
MN,158,408, no, no,0,2099,112,3568,2213,82,1881,210,93,945,82,3,221,1, False
OH,114,415, no, no,0,1915,88,3256,1752,78,1489,2203,118,991,0,0,0,0, False
NC,64,408, no, yes,19,2911,150,4949,2267,123,1927,2191,67,986,75,2,203,1, False
SD,88,415, no, no,0,2156,115,3665,2162,85,1838,1713,65,771,118,1,319,3, False
UT,82,510, yes, no,0,2088,101,355,2137,87,1816,1751,86,788,124,6,335,3, False
KY,111,415, no, no,0,2559,97,435,2041,129,1735,1713,84,771,123,5,332,3, False
MT,60,408, no, no,0,2527,97,4296,2211,121,1879,1099,100,495,124,4,335,2, False
NJ,113,408, no, no,0,1321,72,2246,2475,107,2104,2462,123,1108,69,6,186,3, False
FL,109,408, no, no,0,217,115,3689,207,142,176,268,106,1206,82,4,221,1, False
IN,105,510, no, yes,42,1019,79,1732,2231,97,1896,2416,77,1087,129,2,348,0, False
DE,85,510, no, no,0,2115,100,3596,1846,88,1569,1643,131,739,133,4,359,2, False
AL,131,510, no, no,0,1534,86,2608,1985,81,1687,1644,83,74,104,3,281,0, False
ME,59,510, no, no,0,1663,95,2827,2393,87,2034,1232,108,554,10,3,27,2, False
SD,148,408, no, no,0,1852,87,3148,1704,96,1448,1651,104,743,95,13,257,1, False
VA,210,408, no, no,0,1046,121,1778,1495,71,1271,2551,67,1148,65,8,176,2, False
AK,115,415, no, no,0,2452,105,4168,159,109,1352,2299,74,1035,72,8,194,0, False
ID,106,510, no, no,0,2744,120,4665,1986,82,1688,1608,62,724,6,3,162,1, False
RI,93,415, no, no,0,984,78,1673,2496,129,2122,2482,114,1117,142,4,383,1, False
KY,57,415, no, yes,29,2799,121,4758,2231,109,1896,2517,94,1133,13,2,351,1, False
ND,98,510, no, no,0,1872,127,3182,1956,88,1663,1818,129,818,51,4,138,1, False
HI,157,415, no, no,0,2762,95,4695,1658,119,1409,1516,79,682,22,4,59,3, False
WI,116,415, no, yes,35,2004,104,3407,2728,89,2319,2145,100,965,83,4,224,1, False
WV,30,510, no, no,0,1623,96,2759,244,122,2074,1801,89,81,91,4,246,2, False
NJ,111,510, no, no,0,1769,128,3007,1028,56,874,2137,84,962,105,2,284,4, True
KS,52,415, no, no,0,1655,78,2814,2055,89,1747,2136,124,961,122,6,329,0, False
AL,72,415, no, no,0,2178,93,3703,1897,113,1612,1826,91,822,104,5,281,4, False
NJ,135,510, no, yes,28,2014,100,3424,2465,117,2095,1548,131,697,129,4,348,2, True
NC,86,510, no, no,0,1905,115,3239,1796,130,1527,2585,89,1163,101,5,273,3, False
DE,98,415, no, yes,29,1799,97,3058,1892,89,1608,1643,76,739,128,7,346,3, False
WY,151,510, no, no,0,2359,104,401,806,91,685,2128,116,958,58,2,157,3, False
ID,118,415, no, no,0,1404,112,2387,1871,60,159,2079,155,936,79,1,213,0, False
NY,117,415, no, no,0,1446,115,2458,2588,66,22,2532,113,1139,74,9,2,2, False
MO,55,510, no, no,0,189,100,3213,1185,99,1007,2481,87,1116,171,6,462,0, False
ID,82,408, no, no,0,101,93,1717,1556,104,1323,3044,93,137,133,2,359,0, False
IA,152,415, no, no,0,2063,98,3507,2928,82,2489,437,121,197,106,4,286,1, False
TN,108,408, no, yes,15,1651,85,2807,267,93,227,2507,114,1128,109,4,294,1, False
OH,98,408, no, no,0,165,129,2805,2026,113,1722,1723,94,775,125,7,338,1, True
IL,130,415, no, no,0,1559,95,265,2561,97,2177,2629,103,1183,117,3,316,3, False
FL,136,408, yes, no,0,1992,122,3386,2147,114,1825,1509,105,679,118,7,319,1, False
MA,47,415, no, no,0,1553,116,264,1882,85,16,247,73,1112,123,4,332,3, False
OK,189,415, no, no,0,2083,106,3541,2367,123,2012,1791,120,806,113,5,305,3, False
KY,107,415, no, no,0,1571,79,2671,1626,124,1382,150,138,675,121,6,327,1, False
MI,91,415, no, no,0,1544,165,2625,1683,121,1431,2399,81,108,117,4,316,5, True
NE,159,415, no, no,0,1891,105,3215,2461,147,2092,242,106,1089,104,5,281,1, True
VA,11,408, no, yes,24,1315,98,2236,2302,111,1957,2837,87,1277,10,3,27,2, False
NY,167,415, no, no,0,1664,85,2829,2432,135,2067,2292,95,1031,99,5,267,1, False
MT,111,408, no, no,0,1423,75,2419,1228,106,1044,2295,94,1033,128,9,346,2, False
VT,99,408, no, yes,19,877,103,1491,223,86,1896,1823,112,82,73,4,197,2, False
KS,159,415, no, yes,19,1841,78,313,1945,71,1653,2256,101,1015,169,3,456,0, False
VA,114,415, yes, yes,31,1745,104,2967,2242,92,1906,1163,91,523,123,10,332,2, False
AL,71,415, no, no,0,1033,103,1756,1385,79,1177,1648,98,742,9,2,243,2, False
PA,122,415, no, no,0,351,62,597,1808,89,1537,2516,58,1132,127,2,343,1, False
AL,100,408, no, yes,25,2466,94,4192,1414,112,1202,1898,109,854,13,5,351,1, False
WV,83,415, no, yes,37,785,109,1335,2105,101,1789,1797,102,809,118,4,319,1, False
NV,64,408, no, no,0,1481,73,2518,1649,101,1402,216,125,972,123,2,332,5, True
TN,105,408, no, no,0,2062,84,3505,2564,138,2179,1171,91,527,9,3,243,1, False
ID,144,415, no, yes,33,2516,87,4277,1976,118,168,2092,97,941,122,3,329,2, False
WY,106,415, yes, yes,26,2703,111,4595,2152,90,1829,254,133,1143,144,7,389,1, True
TX,19,510, no, yes,34,1566,97,2662,2242,97,1906,2609,135,1174,113,1,305,1, False
MA,46,408, no, no,0,1394,81,237,2237,113,1901,1731,77,779,136,6,367,1, False
IL,127,510, no, no,0,2202,108,3743,1884,124,1601,1727,113,777,117,3,316,2, False
LA,9,415, no, yes,39,2141,108,364,1692,115,1438,1897,117,854,101,3,273,1, False
CO,157,415, no, no,0,196,74,3332,2134,96,1814,1968,81,886,79,6,213,1, False
UT,105,415, no, no,0,1064,71,1809,2401,83,2041,1477,114,665,53,4,143,6, True
MI,105,415, no, yes,29,1794,113,305,2754,100,2341,2461,105,1107,10,5,27,0, False
NH,155,408, no, no,0,2167,30,3684,1443,125,1227,1353,106,609,108,1,292,2, False
ID,31,415, no, no,0,1773,129,3014,1528,105,1299,1629,92,733,51,2,138,0, False
WA,161,415, no, no,0,1516,117,2577,2194,87,1865,2247,68,1011,4,5,108,1, False
MN,95,408, no, yes,32,2622,123,4457,1652,82,1404,1943,57,874,106,5,286,0, False
NY,122,415, no, no,0,1736,110,2951,917,84,779,2117,103,953,97,7,262,3, False
MD,37,415, yes, no,0,1066,76,1812,1474,89,1253,2358,113,1061,96,8,259,2, False
GA,132,415, no, no,0,1933,106,3286,1283,94,1091,1621,119,729,116,4,313,5, True
